name                ,type      ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example                  ,description
address             ,address   ,           ,       ,      ,        ,          ,        ,         ,7   ,7    ,0xf503...179b            ,the smart contract that emitted this log
blockHash           ,hash      ,           ,       ,      ,true    ,          ,        ,         ,    ,     ,                         ,
blockNumber         ,blknum    ,           ,       ,      ,true    ,          ,        ,         ,1   ,1    ,10021                    ,the number of the block
logIndex            ,uint64    ,           ,       ,      ,        ,          ,        ,         ,3   ,3    ,354                      ,the zero-indexed position of this log relative to the block
topics              ,topic     ,           ,       ,true  ,        ,true      ,        ,         ,8   ,     ,                         ,The first topic hashes event signature of the log&#44; up to 3 additional index parameters may appear
data                ,bytes     ,           ,       ,      ,        ,true      ,        ,         ,9   ,12    ,0x0000...3ff6            ,any remaining un-indexed parameters to the event
articulatedLog      ,Function  ,           ,true   ,      ,        ,true      ,        ,         ,10  ,     ,                         ,a human-readable version of the topic and data fields
compressedLog       ,string    ,           ,       ,      ,true    ,true      ,        ,         ,11  ,13   ,Transfer(0xcfa...9f54... ,a truncated&#44; more readable version of the articulation
transactionHash     ,hash      ,           ,       ,      ,true    ,          ,        ,         ,4   ,4    ,                         ,the hash of the transction
transactionIndex    ,uint64    ,           ,       ,      ,true    ,          ,        ,         ,2   ,2    ,305                      ,the zero-indexed position of the transaction in the block
timestamp           ,timestamp ,           ,       ,      ,true    ,true      ,        ,         ,5   ,5    ,                         ,the timestamp of the block this log appears in
type                ,string    ,           ,       ,      ,true    ,          ,        ,         ,    ,     ,                         ,
date                ,datetime  ,           ,       ,      ,true    ,true      ,        ,         ,6   ,6    ,                         ,the date of the block this log appears in
unused              ,bool      ,           ,       ,      ,true    ,true      ,        ,         ,    ,     ,                         ,
topic0              ,topic     ,           ,       ,      ,true    ,          ,true    ,true     ,    ,8    ,                         ,
topic1              ,topic     ,           ,       ,      ,true    ,          ,true    ,true     ,    ,9    ,                         ,
topic2              ,topic     ,           ,       ,      ,true    ,          ,true    ,true     ,    ,10   ,                         ,
topic3              ,topic     ,           ,       ,      ,true    ,          ,true    ,true     ,    ,11   ,                         ,
