name          ,type        ,strDefault ,omitempty ,docOrder,description
cachePath     ,string      ,           ,true      ,  1 ,the path to the local binary caches
caches        ,[]CacheItem ,           ,          ,  2 ,a collection of information concerning the binary caches
chain         ,string      ,           ,true      ,  3 ,the current chain
chainConfig   ,string      ,           ,true      ,  4 ,the path to the chain configuration folder
clientVersion ,string      ,           ,true      ,  5 ,the version string as reported by the rpcProvider
chainId       ,string      ,           ,true      ,  6 ,the path to config files
hasEsKey      ,bool        ,           ,true      ,  7 ,`true` if an Etherscan key is present
hasPinKey     ,bool        ,           ,true      ,  8 ,`true` if a Pinata API key is present
indexPath     ,string      ,           ,true      ,  9 ,the path to the local binary indexes
isApi         ,bool        ,           ,true      , 10 ,`true` if the server is running in API mode
isArchive     ,bool        ,           ,true      , 11 ,`true` if the rpcProvider is an archive node
isTesting     ,bool        ,           ,true      , 12 ,`true` if the server is running in test mode
isTracing     ,bool        ,           ,true      , 13 ,`true` if the rpcProvider provides Parity traces
isScraping    ,bool        ,           ,true      , 14 ,`true` if the scraper is running
networkId     ,string      ,           ,true      , 15 ,the network id as reported by the rpcProvider
progress      ,string      ,           ,true      , 16 ,the progress string of the system
rootConfig    ,string      ,           ,true      , 17 ,the path to the root configuration folder
rpcProvider   ,string      ,           ,true      , 18 ,the current rpcProvider
version       ,string      ,           ,true      , 19 ,the TrueBlocks version string
chains        ,[]Chain     ,           ,          , 20 ,a list of available chains in the config file
