DATE	NBLOCKS	STARTBLOCK	ENDBLOCK	NTRACES	NTXERRORS	NTCERRORS	NERRORS	NCREATES	NCREATES1	NCREATES2	NCALLS	NSELFDESTRUCT
7/30/15	6911	1	6911	0	0	0	0	0	0	0	0	0
7/31/15	6863	6912	13774	0	0	0	0	0	0	0	0	0
8/1/15	5293	13775	19067	0	0	0	0	0	0	0	0	0
8/2/15	5358	19068	24425	0	0	0	0	0	0	0	0	0
8/3/15	5280	24426	29705	0	0	0	0	0	0	0	0	0
8/4/15	5368	29706	35073	0	0	0	0	0	0	0	0	0
8/5/15	5235	35074	40308	0	0	0	0	0	0	0	0	0
8/6/15	5116	40309	45424	0	0	0	0	0	0	0	0	0
8/7/15	5189	45425	50613	2103	15	0	15	34	34	26	2069	0
8/8/15	5256	50614	55869	21165	537	0	537	74	74	71	21085	6
8/9/15	5123	55870	60992	1504	17	0	17	31	31	31	1466	7
8/10/15	5255	60993	66247	2888	10	0	10	38	38	38	2838	12
8/11/15	5280	66248	71527	7034	8	1	9	18	18	18	7015	1
8/12/15	5124	71528	76651	2197	27	0	27	43	43	40	2150	4
8/13/15	5286	76652	81937	3145	8	1	9	35	35	34	3106	3
8/14/15	5809	81938	87746	3230	8	1	9	30	30	26	3196	3
8/15/15	5382	87747	93128	2709	15	0	15	20	20	20	2686	3
8/16/15	5132	93129	98260	2477	2	0	2	18	18	18	2453	6
8/17/15	5347	98261	103607	2582	0	0	0	9	9	9	2570	3
8/18/15	4948	103608	108555	2603	1	0	1	9	9	9	2593	1
8/19/15	5192	108556	113747	4337	31	0	31	22	22	22	4313	2
8/20/15	4024	113748	117771	2374	2	0	2	37	37	37	2327	10
8/21/15	5088	117772	122859	3972	13	0	13	31	31	30	3938	3
8/22/15	5271	122860	128130	3665	5	0	5	17	17	15	3644	4
8/23/15	5013	128131	133143	4226	3	0	3	64	64	64	4158	4
8/24/15	5184	133144	138327	4520	0	0	0	9	9	9	4507	4
8/25/15	5097	138328	143424	4611	17	0	17	38	38	38	4569	4
8/26/15	5003	143425	148427	4270	3	0	3	44	44	44	4219	7
8/27/15	4708	148428	153135	7021	40	0	40	22	22	22	6998	1
8/28/15	4653	153136	157788	5226	1	0	1	36	35	1	5187	3
8/29/15	4329	157789	162117	4314	1	0	1	30	30	30	4274	10
8/30/15	4155	162118	166272	4712	1	0	1	25	25	24	4677	10
8/31/15	4122	166273	170394	5380	2	0	2	31	31	31	5343	6
9/1/15	3938	170395	174332	5260	12	0	12	39	39	38	5214	7
9/2/15	3577	174333	177909	5435	6	0	6	36	35	1	5384	15
9/3/15	3383	177910	181292	4874	11	0	11	39	39	39	4821	14
9/4/15	4443	181293	185735	5678	18	0	18	41	41	41	5633	4
9/5/15	4921	185736	190656	5601	10	0	10	48	48	48	5535	18
9/6/15	4978	190657	195634	5545	5	0	5	32	32	32	5510	3
9/7/15	4834	195635	200468	5769	6	0	6	79	76	3	5686	4
9/8/15	4923	200469	205391	5655	11	0	11	18	18	18	5634	3
9/9/15	5035	205392	210426	5689	5	0	5	27	27	24	5659	3
9/10/15	5003	210427	215429	5471	10	0	10	13	13	13	5455	3
9/11/15	5141	215430	220570	6657	4	0	4	21	21	21	6636	0
9/12/15	5026	220571	225596	5698	14	0	14	41	41	36	5645	12
9/13/15	4971	225597	230567	6197	13	0	13	43	40	3	6135	9
9/14/15	4851	230568	235418	5704	2	0	2	35	30	5	5643	25
9/15/15	4842	235419	240260	5501	3	0	3	19	19	18	5468	12
9/16/15	4956	240261	245216	6289	6	0	6	26	26	23	6253	10
9/17/15	4808	245217	250024	5603	3	0	3	27	25	2	5569	6
9/18/15	4889	250025	254913	6017	20	0	20	69	69	64	5947	1
9/19/15	5078	254914	259991	5271	6	0	6	51	51	51	5209	11
9/20/15	5305	259992	265296	6532	22	0	22	61	61	58	6465	5
9/21/15	5075	265297	270371	6367	2	0	2	61	61	61	6291	15
9/22/15	5051	270372	275422	6913	2	3	5	48	45	3	6860	5
9/23/15	5165	275423	280587	7441	28	0	28	35	35	33	7394	12
9/24/15	5021	280588	285608	6246	6	0	6	48	39	9	6196	2
9/25/15	5126	285609	290734	5977	5	0	5	50	50	50	5920	7
9/26/15	4930	290735	295664	5946	3	0	3	4	4	4	5941	1
9/27/15	4773	295665	300437	5957	13	0	13	28	28	21	5924	5
9/28/15	4738	300438	305175	6195	8	0	8	21	21	21	6167	7
9/29/15	4640	305176	309815	5772	1	0	1	23	23	23	5743	6
9/30/15	4757	309816	314572	5989	4	0	4	37	36	1	5931	18
10/1/15	5210	314573	319782	6638	2	0	2	19	19	19	6615	4
10/2/15	5143	319783	324925	6233	11	0	11	10	10	10	6222	1
10/3/15	5077	324926	330002	6243	0	0	0	11	11	11	6229	3
10/4/15	4886	330003	334888	6814	0	0	0	5	5	5	6806	3
10/5/15	5009	334889	339897	6471	39	0	39	53	53	53	6415	3
10/6/15	4806	339898	344703	6702	2	1	3	18	18	17	6682	2
10/7/15	5004	344704	349707	7372	8	0	8	21	21	19	7345	6
10/8/15	5152	349708	354859	7150	0	0	0	17	14	3	7128	5
10/9/15	4905	354860	359764	6914	2	0	2	12	12	11	6901	1
10/10/15	4896	359765	364660	7252	0	0	0	10	10	10	7242	0
10/11/15	5073	364661	369733	6332	0	0	0	12	12	12	6320	0
10/12/15	5148	369734	374881	6689	22	0	22	66	66	65	6610	13
10/13/15	5108	374882	379989	6990	3	0	3	53	53	53	6930	7
10/14/15	4934	379990	384923	7052	12	0	12	58	58	48	6988	6
10/15/15	4926	384924	389849	6906	27	0	27	75	75	73	6815	16
10/16/15	4883	389850	394732	7011	26	0	26	47	47	39	6960	4
10/17/15	5056	394733	399788	6715	3	0	3	59	59	59	6632	24
10/18/15	4945	399789	404733	6707	19	0	19	39	39	39	6653	15
10/19/15	4975	404734	409708	6707	7	1	8	54	54	54	6642	11
10/20/15	4990	409709	414698	5981	3	0	3	46	30	16	5931	4
10/21/15	4990	414699	419688	6451	8	0	8	23	23	23	6426	2
10/22/15	4835	419689	424523	6854	17	2	19	74	70	4	6773	7
10/23/15	5263	424524	429786	8370	27	23	50	122	120	2	8243	5
10/24/15	5171	429787	434957	8496	7	16	23	127	127	124	8369	0
10/25/15	5096	434958	440053	6355	17	0	17	153	153	150	6202	0
10/26/15	4908	440054	444961	6888	28	10	38	42	42	33	6846	0
10/27/15	5220	444962	450181	7294	34	4	38	97	97	95	7196	1
10/28/15	4967	450182	455148	7622	6	0	6	48	48	48	7572	2
10/29/15	5158	455149	460306	8447	45	0	45	43	43	42	8399	5
10/30/15	5232	460307	465538	8192	32	5	37	99	99	89	8091	2
10/31/15	5129	465539	470667	8339	35	10	45	58	58	51	8280	1
11/1/15	5158	470668	475825	7474	22	0	22	25	25	25	7447	2
11/2/15	5024	475826	480849	6809	15	0	15	36	36	36	6772	1
11/3/15	5085	480850	485934	7530	6	0	6	45	45	45	7485	0
11/4/15	5125	485935	491059	7120	4	0	4	33	33	33	7085	2
11/5/15	5103	491060	496162	7664	10	0	10	58	58	57	7602	4
11/6/15	5142	496163	501304	11677	8	0	8	54	54	54	11623	0
11/7/15	4922	501305	506226	27943	21	0	21	145	133	12	27789	9
11/8/15	5021	506227	511247	16100	19	1	20	74	71	3	16017	1
11/9/15	5024	511248	516271	8075	1	2	3	45	33	12	8023	6
11/10/15	5053	516272	521324	14435	9	0	9	92	90	2	14341	2
11/11/15	5028	521325	526352	30141	0	0	0	44	44	44	30097	0
11/12/15	5079	526353	531431	32080	166	0	166	34	34	34	32046	0
11/13/15	5119	531432	536550	13334	5	0	5	61	61	61	13272	1
11/14/15	5127	536551	541677	7613	5	1	6	24	24	24	7588	1
11/15/15	5195	541678	546872	7240	4	3	7	32	32	32	7208	0
11/16/15	5039	546873	551911	7649	6	2	8	35	35	34	7612	2
11/17/15	5163	551912	557074	7381	0	0	0	30	30	30	7349	2
11/18/15	5075	557075	562149	7439	10	0	10	43	43	33	7396	0
11/19/15	4977	562150	567126	15982	4	0	4	42	42	42	15938	2
11/20/15	4721	567127	571847	6481	1	0	1	20	20	20	6461	0
11/21/15	5035	571848	576882	6913	2	0	2	42	42	42	6865	6
11/22/15	5049	576883	581931	7232	0	0	0	30	30	30	7202	0
11/23/15	5089	581932	587020	8388	0	0	0	55	55	55	8333	0
11/24/15	5001	587021	592021	7197	3	0	3	45	45	45	7151	1
11/25/15	4940	592022	596961	7218	1	0	1	24	24	24	7194	0
11/26/15	4940	596962	601901	7333	0	0	0	16	16	16	7316	1
11/27/15	5174	601902	607075	6733	0	0	0	11	11	11	6722	0
11/28/15	5008	607076	612083	7012	25	1	26	17	16	1	6993	1
11/29/15	5050	612084	617133	6908	4	0	4	23	23	23	6884	1
11/30/15	5080	617134	622213	9032	29	0	29	20	20	20	9011	1
12/1/15	5078	622214	627291	6876	12	0	12	42	41	1	6831	2
12/2/15	4824	627292	632115	6545	6	0	6	35	31	4	6508	0
12/3/15	5205	632116	637320	7057	25	0	25	34	33	1	7023	0
12/4/15	5008	637321	642328	7066	20	2	22	78	75	3	6985	3
12/5/15	5006	642329	647334	6955	12	2	14	60	60	60	6890	5
12/6/15	4913	647335	652247	9549	23	0	23	159	158	1	9390	0
12/7/15	4971	652248	657218	7277	3	0	3	51	51	51	7225	1
12/8/15	4911	657219	662129	7014	7	1	8	40	40	40	6971	3
12/9/15	5208	662130	667337	7097	1	1	2	40	38	2	7057	0
12/10/15	5144	667338	672481	7689	28	4	32	56	56	56	7633	0
12/11/15	5062	672482	677543	8477	8	5	13	54	54	54	8423	0
12/12/15	5076	677544	682619	8415	3	2	5	35	35	34	8378	2
12/13/15	5280	682620	687899	9115	15	11	26	92	92	90	9021	1
12/14/15	4999	687900	692898	16356	25	21	46	72	72	72	16283	1
12/15/15	5070	692899	697968	50353	739	0	739	36	36	36	50315	2
